Age range,Age,Gender,Occupation,Marital status ,Income,Monthly Household income,"Location e.g Lagos, Nigeria",Device type,Most preferred delivery method,Are you a farmer?,"If yes, What farming system do you have?",What farm produce do you buy or sell? (You can give a list),Would you like an online platform where you can buy or sell farm products and not feel cheated?,Do you know of any platform that provides you with the service mentioned above?,"If yes, please give a name",What features would you be looking forward to on such a digital platform?
18 - 25,21,Female,Student,Single,#5000,"< #50,000",Modakeke,Android,Home Delivery,No,,"Garri
Rice
Pepper
Onion
Vegetables",Yes,No,,
26 - 35,27,Female,Student,Married,"#120,000","#100,000 - #200,000",Osun,Android,Home Delivery,No,,"Pepper, Vegetables, Plantain, Charcoal, Yam flour, Palm Oil, Fruits",Yes,No,,"Prompt Response, Pricing"
50 and above,57,Male,Farmer,Married,"#155,000","#100,000 - #200,000",Osun,Android,Home Delivery,Yes,Small Scale,Cocoa,Yes,No,,More Profit
18 - 25,23,Male,Student,Single,"#15,000","< #50,000",Ekiti,Android,Home Delivery,No,,"Vegetables,Rice",Yes,Maybe,,
26 - 35,28,Male,Freelance copywriter,Single,"#300,000","#200,000 - #500,000",Ibadan,Android,Home Delivery,No,,"Vegetables,Grains",Yes,No,,"Pricing, Friendly user interface, Impressive logistics"
26 - 35,26,Female,Student,Single,"#20,000","< #50,000",Oyo,Android,Home Delivery,No,,"Beans, yam, potatoes, maize, vegetables",Yes,No,,Community feature
26 - 35,27,Male,Content Creator,Single,"#100,000","#50,000 - #100,000",Osun,Android,Home Delivery,No,,Food stuffs,Yes,No,,Pricing
18 - 25,22,Female,Student,Single,"#20,000","< #50,000",Lagos,Android,Home Delivery,No,,"Plantain, yam",No,No,,
50 and above,58,Male,Farmer,Married,"#45,000","< #50,000",Osun,Android,Market,Yes,Small Scale,"Plaintain, palm oil",Yes,No,,Customer Visibility
18 - 25,24,Male,Business man,Single,"#20,000","< #50,000",Osun,Android,Home Delivery,No,Small Scale,"Grains, tubers ",Yes,No,,
